"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!Under 18 years","SEX AND AGE!!16 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","SEX AND AGE!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent","","623,657","49.4%","50.6%","(X)","4.8%","5.1%","5.6%","6.4%","7.6%","11.8%","11.1%","13.3%","7.7%","7.7%","11.4%","5.3%","2.1%","(X)","18.9%","83.3%","81.1%","76.3%","23.1%","18.8%","505,902","48.8%","51.2%","(X)","117,150","45.9%","54.1%","(X)","","623,657","97.9%","2.1%","97.9%","94.2%","1.3%","0.4%","N","N","N","N","1.8%","0.2%","0.6%","0.1%","0.1%","0.1%","0.1%","0.6%","0.0%","N","N","N","N","0.2%","2.1%","0.7%","0.6%","0.5%","0.0%","","623,657","96.2%","2.1%","1.1%","2.3%","0.1%","0.3%","","623,657","1.9%","0.5%","0.3%","0.1%","1.0%","98.1%","92.8%","1.2%","0.3%","1.8%","0.0%","0.0%","1.9%","0.0%","1.9%","(X)","","494,550","49.0%","51.0%"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,470,020","4,163,754","4,306,266","96.7","501,972","513,476","534,952","550,916","589,483","1,165,166","1,107,730","1,141,333","568,971","524,417","762,279","362,978","146,347","38.2","1,868,081","6,813,344","6,601,939","6,244,074","1,572,295","1,271,604","6,601,939","3,210,622","3,391,317","94.7","1,271,604","565,285","706,319","80.0","","8,470,020","8,138,634","331,386","8,138,634","5,714,699","1,627,641","26,792","4,371","695","230","150","545,776","150,846","79,472","68,797","13,559","78,571","52,964","101,567","4,225","743","2,076","651","755","219,501","331,386","109,504","32,385","92,394","11,741","","8,470,020","6,006,069","1,795,098","95,296","671,849","17,004","255,069","","8,470,020","790,662","182,284","96,085","20,836","491,457","7,679,358","5,226,540","1,595,039","20,568","539,382","2,987","19,779","275,063","8,924","266,139","3,512,917","","6,145,893","2,991,551","3,154,342"
"    Percent","","8,470,020","49.2%","50.8%","(X)","5.9%","6.1%","6.3%","6.5%","7.0%","13.8%","13.1%","13.5%","6.7%","6.2%","9.0%","4.3%","1.7%","(X)","22.1%","80.4%","77.9%","73.7%","18.6%","15.0%","6,601,939","48.6%","51.4%","(X)","1,271,604","44.5%","55.5%","(X)","","8,470,020","96.1%","3.9%","96.1%","67.5%","19.2%","0.3%","0.1%","0.0%","0.0%","0.0%","6.4%","1.8%","0.9%","0.8%","0.2%","0.9%","0.6%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","2.6%","3.9%","1.3%","0.4%","1.1%","0.1%","","8,470,020","70.9%","21.2%","1.1%","7.9%","0.2%","3.0%","","8,470,020","9.3%","2.2%","1.1%","0.2%","5.8%","90.7%","61.7%","18.8%","0.2%","6.4%","0.0%","0.2%","3.2%","0.1%","3.1%","(X)","","6,145,893","48.7%","51.3%"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,405,743","3,698,615","3,707,128","99.8","455,015","465,172","456,754","445,939","480,895","1,105,343","977,367","946,140","484,105","471,254","683,938","306,192","127,629","37.7","1,646,733","5,939,508","5,759,010","5,482,380","1,398,581","1,117,759","5,759,010","2,859,698","2,899,312","98.6","1,117,759","508,652","609,107","83.5","","7,405,743","6,967,658","438,085","6,967,658","5,582,361","271,584","93,038","3,443","3,003","1,198","2,164","632,156","110,317","144,019","115,781","35,649","59,739","76,027","90,624","48,533","6,723","12,289","15,114","14,407","339,986","438,085","89,398","96,179","119,683","7,055","","7,405,743","5,975,019","404,766","223,788","804,163","93,660","390,921","","7,405,743","940,792","747,028","39,346","11,335","143,083","6,464,951","5,077,103","262,211","75,535","625,939","46,110","15,487","362,566","9,076","353,490","3,103,263","","5,259,892","2,602,905","2,656,987"
"    Percent","","7,405,743","49.9%","50.1%","(X)","6.1%","6.3%","6.2%","6.0%","6.5%","14.9%","13.2%","12.8%","6.5%","6.4%","9.2%","4.1%","1.7%","(X)","22.2%","80.2%","77.8%","74.0%","18.9%","15.1%","5,759,010","49.7%","50.3%","(X)","1,117,759","45.5%","54.5%","(X)","","7,405,743","94.1%","5.9%","94.1%","75.4%","3.7%","1.3%","0.0%","0.0%","0.0%","0.0%","8.5%","1.5%","1.9%","1.6%","0.5%","0.8%","1.0%","1.2%","0.7%","0.1%","0.2%","0.2%","0.2%","4.6%","5.9%","1.2%","1.3%","1.6%","0.1%","","7,405,743","80.7%","5.5%","3.0%","10.9%","1.3%","5.3%","","7,405,743","12.7%","10.1%","0.5%","0.2%","1.9%","87.3%","68.6%","3.5%","1.0%","8.5%","0.6%","0.2%","4.9%","0.1%","4.8%","(X)","","5,259,892","49.5%","50.5%"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,815,857","897,166","918,691","97.7","97,887","104,233","107,906","114,946","111,535","208,597","220,633","237,739","124,846","136,963","207,584","104,656","38,332","42.4","373,403","1,485,052","1,442,454","1,368,081","428,638","350,572","1,442,454","705,573","736,881","95.8","350,572","158,270","192,302","82.3","","1,815,857","1,785,333","30,524","1,785,333","1,684,321","71,991","2,438","N","N","N","N","13,733","3,749","2,637","2,973","814","669","553","2,338","344","N","N","N","N","12,506","30,524","16,571","4,599","4,061","353","","1,815,857","1,713,049","92,106","9,362","18,376","613","15,356","","1,815,857","22,807","8,850","6,494","1,173","6,290","1,793,050","1,670,509","71,358","2,391","13,695","344","6,730","28,023","1,051","26,972","892,240","","1,428,859","698,909","729,950"
"    Percent","","1,815,857","49.4%","50.6%","(X)","5.4%","5.7%","5.9%","6.3%","6.1%","11.5%","12.2%","13.1%","6.9%","7.5%","11.4%","5.8%","2.1%","(X)","20.6%","81.8%","79.4%","75.3%","23.6%","19.3%","1,442,454","48.9%","51.1%","(X)","350,572","45.1%","54.9%","(X)","","1,815,857","98.3%","1.7%","98.3%","92.8%","4.0%","0.1%","N","N","N","N","0.8%","0.2%","0.1%","0.2%","0.0%","0.0%","0.0%","0.1%","0.0%","N","N","N","N","0.7%","1.7%","0.9%","0.3%","0.2%","0.0%","","1,815,857","94.3%","5.1%","0.5%","1.0%","0.0%","0.8%","","1,815,857","1.3%","0.5%","0.4%","0.1%","0.3%","98.7%","92.0%","3.9%","0.1%","0.8%","0.0%","0.4%","1.5%","0.1%","1.5%","(X)","","1,428,859","48.9%","51.1%"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,795,483","2,880,454","2,915,029","98.8","333,985","347,700","374,137","379,515","401,915","727,114","698,926","761,175","429,312","385,520","553,726","276,045","126,413","39.5","1,279,361","4,662,901","4,516,122","4,278,512","1,184,114","956,184","4,516,122","2,228,211","2,287,911","97.4","956,184","432,708","523,476","82.7","","5,795,483","5,652,246","143,237","5,652,246","4,942,176","370,335","49,261","981","16,038","78","588","159,530","37,042","25,412","8,138","1,922","7,927","6,637","72,452","4,177","863","789","88","2,437","126,767","143,237","48,070","34,933","24,528","2,450","","5,795,483","5,073,303","433,227","95,034","190,025","7,911","148,669","","5,795,483","397,847","286,985","60,781","4,578","45,503","5,397,636","4,706,315","362,314","44,664","158,583","3,622","9,360","112,778","3,741","109,037","2,695,303","","4,375,063","2,154,024","2,221,039"
"    Percent","","5,795,483","49.7%","50.3%","(X)","5.8%","6.0%","6.5%","6.5%","6.9%","12.5%","12.1%","13.1%","7.4%","6.7%","9.6%","4.8%","2.2%","(X)","22.1%","80.5%","77.9%","73.8%","20.4%","16.5%","4,516,122","49.3%","50.7%","(X)","956,184","45.3%","54.7%","(X)","","5,795,483","97.5%","2.5%","97.5%","85.3%","6.4%","0.8%","0.0%","0.3%","0.0%","0.0%","2.8%","0.6%","0.4%","0.1%","0.0%","0.1%","0.1%","1.3%","0.1%","0.0%","0.0%","0.0%","0.0%","2.2%","2.5%","0.8%","0.6%","0.4%","0.0%","","5,795,483","87.5%","7.5%","1.6%","3.3%","0.1%","2.6%","","5,795,483","6.9%","5.0%","1.0%","0.1%","0.8%","93.1%","81.2%","6.3%","0.8%","2.7%","0.1%","0.2%","1.9%","0.1%","1.9%","(X)","","4,375,063","49.2%","50.8%"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","579,315","295,779","283,536","104.3","37,910","40,293","38,498","38,542","36,372","79,822","70,601","64,982","43,939","37,919","55,232","24,710","10,495","37.5","138,062","456,056","441,253","417,186","112,569","90,437","441,253","224,212","217,041","103.3","90,437","43,423","47,014","92.4","","579,315","562,965","16,350","562,965","528,414","5,766","13,944","244","121","666","368","4,832","303","1,175","1,370","312","674","232","766","8","N","N","N","N","10,001","16,350","3,480","5,734","2,528","0","","579,315","544,335","10,600","20,840","8,863","1,537","12,277","","579,315","58,122","43,732","1,002","142","13,246","521,193","486,586","5,154","12,341","4,586","0","223","12,303","152","12,151","276,733","","428,379","217,735","210,644"
"    Percent","","579,315","51.1%","48.9%","(X)","6.5%","7.0%","6.6%","6.7%","6.3%","13.8%","12.2%","11.2%","7.6%","6.5%","9.5%","4.3%","1.8%","(X)","23.8%","78.7%","76.2%","72.0%","19.4%","15.6%","441,253","50.8%","49.2%","(X)","90,437","48.0%","52.0%","(X)","","579,315","97.2%","2.8%","97.2%","91.2%","1.0%","2.4%","0.0%","0.0%","0.1%","0.1%","0.8%","0.1%","0.2%","0.2%","0.1%","0.1%","0.0%","0.1%","0.0%","N","N","N","N","1.7%","2.8%","0.6%","1.0%","0.4%","0.0%","","579,315","94.0%","1.8%","3.6%","1.5%","0.3%","2.1%","","579,315","10.0%","7.5%","0.2%","0.0%","2.3%","90.0%","84.0%","0.9%","2.1%","0.8%","0.0%","0.0%","2.1%","0.0%","2.1%","(X)","","428,379","50.8%","49.2%"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,337,177","1,591,997","1,745,180","91.2","146,699","172,834","205,425","231,633","236,911","396,657","427,844","430,603","217,142","212,674","368,874","215,153","74,728","41.4","656,794","2,771,523","2,680,383","2,530,820","785,981","658,755","2,680,383","1,246,643","1,433,740","87.0","658,755","284,891","373,864","76.2","","3,337,177","3,161,359","175,818","3,161,359","2,210,728","403,659","7,934","N","N","N","N","5,424","N","N","N","N","N","N","N","0","N","N","N","N","533,614","175,818","141,203","840","1,110","1,960","","3,337,177","2,378,421","563,738","23,962","7,783","408","552,176","","3,337,177","3,306,460","8,231","3,201,679","16,097","80,453","30,717","23,379","2,454","77","1,498","0","1,469","1,840","43","1,797","1,561,802","","2,636,949","1,226,539","1,410,410"
"    Percent","","3,337,177","47.7%","52.3%","(X)","4.4%","5.2%","6.2%","6.9%","7.1%","11.9%","12.8%","12.9%","6.5%","6.4%","11.1%","6.4%","2.2%","(X)","19.7%","83.0%","80.3%","75.8%","23.6%","19.7%","2,680,383","46.5%","53.5%","(X)","658,755","43.2%","56.8%","(X)","","3,337,177","94.7%","5.3%","94.7%","66.2%","12.1%","0.2%","N","N","N","N","0.2%","N","N","N","N","N","N","N","0.0%","N","N","N","N","16.0%","5.3%","4.2%","0.0%","0.0%","0.1%","","3,337,177","71.3%","16.9%","0.7%","0.2%","0.0%","16.5%","","3,337,177","99.1%","0.2%","95.9%","0.5%","2.4%","0.9%","0.7%","0.1%","0.0%","0.0%","0.0%","0.0%","0.1%","0.0%","0.1%","(X)","","2,636,949","46.5%","53.5%"
