"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2012 Estimate","","2,949,131","49.1%","50.9%","6.5%","7.0%","6.7%","6.7%","7.0%","12.9%","12.5%","13.4%","6.6%","5.8%","8.6%","4.6%","1.7%","37.6","75.9%","71.5%","18.3%","15.0%","2,237,502","48.3%","51.7%","441,107","44.0%","56.0%","","2,949,131","98.0%","2.0%","98.0%","78.3%","15.7%","0.6%","N","N","N","N","1.3%","0.4%","0.2%","0.2%","0.0%","0.0%","0.2%","0.3%","0.2%","N","N","N","N","2.0%","2.0%","0.4%","0.9%","0.2%","0.0%","","2,949,131","80.1%","16.3%","1.7%","1.6%","0.2%","2.2%","","2,949,131","6.7%","5.2%","0.2%","0.0%","1.3%","93.3%","73.9%","15.6%","0.5%","1.3%","0.2%","0.1%","1.7%","0.0%","1.7%","1,328,225"
"    2014 - 2012 Statistical Significance","","c","","","","","","","","","","*","","","*","","*","","*","*","*","*","*","","","*","*","*","","c","","","","","","","","","","","*","*","","*","","","","","","","","","","*","","*","","","","","c","","*","","","*","*","","c","*","","","","","*","*","","","","","","","","","*"
"    2011 Estimate","","2,937,979","49.3%","50.7%","6.7%","6.7%","6.8%","6.7%","6.9%","13.0%","12.4%","13.7%","6.4%","6.0%","8.1%","4.7%","1.7%","37.5","75.8%","71.4%","18.1%","14.6%","2,226,793","48.5%","51.5%","428,625","43.6%","56.4%","","2,937,979","98.1%","1.9%","98.1%","78.2%","15.8%","0.6%","N","N","N","N","1.2%","0.2%","0.3%","0.2%","0.0%","0.1%","0.2%","0.3%","0.2%","0.0%","0.0%","0.0%","0.2%","2.1%","1.9%","0.5%","0.9%","0.2%","0.1%","","2,937,979","79.9%","16.4%","1.6%","1.5%","0.3%","2.3%","","2,937,979","6.5%","5.1%","0.2%","0.0%","1.1%","93.5%","74.3%","15.7%","0.5%","1.2%","0.2%","0.0%","1.7%","0.0%","1.6%","1,324,471"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","","*","","*","","","*","","","","*","*","*","*","*","","","*","*","*","","c","","","","","","","","","","","","*","","","","","","","","","","","","*","","","","","","","c","","","","*","","*","","c","*","","","*","*","*","*","","","","","","","","*","*"
"    2010 Estimate","","2,921,606","49.0%","51.0%","6.7%","6.7%","6.9%","7.2%","6.8%","12.6%","12.7%","13.9%","6.2%","5.9%","8.1%","4.5%","1.8%","37.3","75.7%","71.0%","17.8%","14.4%","2,210,476","48.4%","51.6%","420,075","43.7%","56.3%","","2,921,606","98.3%","1.7%","98.3%","78.4%","15.9%","0.6%","0.3%","0.0%","0.0%","0.0%","1.1%","0.2%","0.1%","0.2%","0.0%","0.0%","0.2%","0.4%","0.2%","N","N","N","N","2.1%","1.7%","0.4%","0.7%","0.1%","0.0%","","2,921,606","80.0%","16.4%","1.5%","1.3%","0.3%","2.3%","","2,921,606","6.3%","4.7%","0.2%","0.0%","1.3%","93.7%","74.5%","15.8%","0.6%","1.1%","0.2%","0.1%","1.4%","0.0%","1.4%","1,317,818"
"    2014 - 2010 Statistical Significance","","c","","","*","","*","*","","","","*","*","","*","*","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","","","","","","","","","","*","","","*","","","","","","","","*","*","*","*","*","","","c","","","*","*","","*","","c","*","*","","*","","*","*","","","","","","*","","*","*"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","38,802,500","49.6%","50.4%","6.5%","6.6%","6.5%","6.8%","7.5%","14.7%","13.4%","13.5%","6.2%","5.4%","7.3%","3.8%","1.7%","36.0","76.4%","72.1%","16.0%","12.9%","29,650,921","49.2%","50.8%","4,990,092","44.2%","55.8%","","38,802,500","95.4%","4.6%","95.4%","61.4%","5.8%","0.7%","0.0%","0.0%","0.0%","0.0%","13.9%","1.8%","3.6%","3.3%","0.7%","1.2%","1.6%","1.6%","0.4%","0.1%","0.1%","0.1%","0.1%","13.2%","4.6%","0.7%","0.8%","1.3%","0.1%","","38,802,500","65.2%","7.0%","1.9%","15.8%","0.8%","14.3%","","38,802,500","38.6%","32.2%","0.5%","0.2%","5.6%","61.4%","38.3%","5.6%","0.3%","13.7%","0.4%","0.2%","2.9%","0.1%","2.7%","13,901,594"
"    2013 Estimate","","38,332,521","49.8%","50.2%","6.5%","6.7%","6.6%","6.9%","7.6%","14.6%","13.5%","13.6%","6.2%","5.3%","7.0%","3.7%","1.8%","35.7","76.1%","71.6%","15.5%","12.5%","29,158,337","49.3%","50.7%","4,794,108","44.1%","55.9%","","38,332,521","95.5%","4.5%","95.5%","61.9%","5.9%","0.7%","0.1%","0.0%","0.0%","0.0%","13.6%","1.6%","3.6%","3.2%","0.7%","1.2%","1.7%","1.6%","0.4%","0.1%","0.0%","0.1%","0.2%","12.9%","4.5%","0.6%","0.7%","1.3%","0.1%","","38,332,521","65.6%","7.1%","1.9%","15.5%","0.8%","14.1%","","38,332,521","38.4%","32.0%","0.6%","0.3%","5.6%","61.6%","38.8%","5.7%","0.4%","13.4%","0.3%","0.2%","2.8%","0.1%","2.6%","13,791,262"
"    2014 - 2013 Statistical Significance","","c","*","*","*","*","*","*","*","*","*","*","","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","","","","*","*","","","","","","*","*","*","*","","","","","","","*","","","*","","*","","","","","c","*","","","*","","","","c","c","*","","","","c","*","*","","*","","*","*","","*","*"
"    2012 Estimate","","38,041,430","49.7%","50.3%","6.7%","6.7%","6.7%","7.1%","7.7%","14.4%","13.6%","13.7%","6.1%","5.2%","6.7%","3.7%","1.7%","35.5","75.7%","71.2%","15.1%","12.1%","28,802,124","49.3%","50.7%","4,599,393","43.9%","56.1%","","38,041,430","95.6%","4.4%","95.6%","62.1%","6.0%","0.8%","0.1%","0.0%","0.0%","0.0%","13.5%","1.5%","3.6%","3.2%","0.7%","1.2%","1.6%","1.6%","0.4%","0.1%","0.1%","0.1%","0.2%","12.9%","4.4%","0.6%","0.7%","1.2%","0.1%","","38,041,430","65.7%","7.1%","1.9%","15.3%","0.8%","14.1%","","38,041,430","38.2%","31.8%","0.5%","0.2%","5.6%","61.8%","39.2%","5.7%","0.4%","13.3%","0.4%","0.2%","2.7%","0.2%","2.6%","13,708,197"
"    2014 - 2012 Statistical Significance","","c","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","*","","","","*","*","","","","","","","","","","","*","*","*","*","*","*","","","c","*","","","*","","","","c","c","*","","","","c","*","*","*","*","","","*","*","*","*"
"    2011 Estimate","","37,691,912","49.7%","50.3%","6.7%","6.7%","6.8%","7.3%","7.6%","14.3%","13.7%","13.9%","6.0%","5.1%","6.3%","3.7%","1.7%","35.4","75.4%","70.8%","14.6%","11.7%","28,424,476","49.3%","50.7%","4,398,053","43.7%","56.3%","","37,691,912","95.8%","4.2%","95.8%","62.9%","6.0%","0.8%","0.1%","0.0%","0.0%","0.0%","13.2%","1.5%","3.4%","3.1%","0.7%","1.2%","1.6%","1.5%","0.4%","0.1%","0.1%","0.1%","0.2%","12.6%","4.2%","0.6%","0.7%","1.2%","0.1%","","37,691,912","66.3%","7.1%","1.8%","15.0%","0.8%","13.6%","","37,691,912","38.1%","31.8%","0.5%","0.2%","5.6%","61.9%","39.6%","5.7%","0.4%","13.0%","0.4%","0.2%","2.6%","0.1%","2.5%","13,721,187"
"    2014 - 2011 Statistical Significance","","c","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","*","","","","*","*","*","*","","","","","","","","","","*","*","*","*","*","","","c","*","","*","*","","*","","c","c","*","","","","c","*","*","*","*","","*","*","","*","*"
"    2010 Estimate","","37,349,363","49.7%","50.3%","6.8%","6.8%","6.9%","7.6%","7.5%","14.3%","13.9%","14.0%","5.9%","5.0%","6.1%","3.7%","1.6%","35.2","75.1%","70.4%","14.3%","11.4%","28,042,134","49.2%","50.8%","4,269,495","43.5%","56.5%","","37,349,363","95.8%","4.2%","95.8%","62.4%","6.0%","0.8%","0.1%","0.0%","0.0%","0.0%","13.1%","1.4%","3.4%","3.2%","0.7%","1.3%","1.6%","1.5%","0.4%","0.1%","0.1%","0.1%","0.1%","13.1%","4.2%","0.5%","0.7%","1.1%","0.1%","","37,349,363","65.9%","7.1%","1.8%","14.8%","0.8%","14.2%","","37,349,363","37.7%","31.5%","0.5%","0.3%","5.4%","62.3%","40.0%","5.8%","0.4%","12.9%","0.4%","0.2%","2.6%","0.1%","2.4%","13,682,976"
"    2014 - 2010 Statistical Significance","","c","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","*","","*","","*","","*","*","*","*","","","","*","","","","","","","*","*","*","*","","","c","*","*","*","*","","","","c","c","*","","*","*","c","*","*","*","*","","*","*","","*","*"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","5,355,866","50.3%","49.7%","6.2%","6.6%","6.7%","6.3%","7.2%","14.9%","13.5%","13.3%","6.6%","6.0%","7.7%","3.5%","1.5%","36.3","76.7%","72.7%","16.2%","12.7%","4,108,721","49.9%","50.1%","679,572","45.5%","54.5%","","5,355,866","96.6%","3.4%","96.6%","84.4%","4.0%","1.0%","0.1%","0.0%","0.2%","0.1%","2.9%","0.5%","0.6%","0.3%","0.2%","0.5%","0.3%","0.6%","0.1%","0.1%","0.0%","0.0%","0.0%","4.0%","3.4%","0.7%","0.8%","0.7%","0.1%","","5,355,866","87.4%","5.1%","2.2%","3.9%","0.3%","4.7%","","5,355,866","21.2%","15.6%","0.5%","0.1%","4.9%","78.8%","68.8%","3.8%","0.6%","2.9%","0.1%","0.1%","2.4%","0.1%","2.3%","2,276,280"
"    2013 Estimate","","5,268,367","50.2%","49.8%","6.3%","6.6%","6.8%","6.5%","7.0%","14.7%","13.7%","13.6%","6.6%","5.9%","7.3%","3.6%","1.4%","36.4","76.4%","72.2%","15.6%","12.2%","4,027,042","49.9%","50.1%","644,943","45.0%","55.0%","","5,268,367","96.4%","3.6%","96.4%","83.8%","4.0%","0.8%","0.1%","0.0%","0.1%","0.1%","2.9%","0.4%","0.5%","0.3%","0.2%","0.4%","0.5%","0.5%","0.2%","0.1%","0.0%","0.0%","0.1%","4.8%","3.6%","0.7%","0.8%","0.8%","0.1%","","5,268,367","87.0%","5.1%","2.1%","3.9%","0.3%","5.5%","","5,268,367","21.0%","15.6%","0.5%","0.1%","4.8%","79.0%","69.1%","3.7%","0.5%","2.8%","0.1%","0.2%","2.4%","0.0%","2.4%","2,247,291"
"    2014 - 2013 Statistical Significance","","c","","","*","","","*","*","*","*","*","","","*","","","","*","*","*","*","*","","","*","*","*","","c","","","","*","","*","","","*","","","*","","","*","","*","","","","","","","*","","","","","","","c","","","","","","*","","c","c","","","","","c","*","","*","*","","*","","*","","*"
"    2012 Estimate","","5,187,582","50.1%","49.9%","6.5%","6.9%","6.5%","6.6%","7.0%","14.6%","13.7%","14.0%","6.8%","5.6%","6.9%","3.5%","1.4%","36.2","76.3%","72.0%","15.0%","11.8%","3,956,275","49.9%","50.1%","610,939","44.8%","55.2%","","5,187,582","96.7%","3.3%","96.7%","84.4%","4.2%","0.9%","0.1%","0.0%","0.2%","0.1%","2.8%","0.4%","0.6%","0.2%","0.2%","0.3%","0.4%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","4.2%","3.3%","0.5%","0.8%","0.7%","0.1%","","5,187,582","87.3%","5.1%","2.0%","3.9%","0.3%","5.1%","","5,187,582","21.0%","15.7%","0.6%","0.2%","4.4%","79.0%","69.4%","3.9%","0.6%","2.8%","0.1%","0.1%","2.1%","0.1%","2.0%","2,230,536"
"    2014 - 2012 Statistical Significance","","c","*","*","*","*","","*","*","*","*","*","*","*","*","","","","*","*","*","*","*","","","*","*","*","","c","","","","","*","","","*","","","*","*","","","*","*","","","","","","","","","","*","","","*","","c","","","*","","*","","","c","c","","","","*","c","*","","","*","","","*","*","*","*"
"    2011 Estimate","","5,116,796","50.2%","49.8%","6.7%","6.8%","6.6%","6.6%","7.0%","14.6%","13.9%","14.2%","6.7%","5.6%","6.4%","3.4%","1.5%","36.2","76.0%","71.9%","14.5%","11.2%","3,888,219","49.8%","50.2%","575,497","44.6%","55.4%","","5,116,796","96.6%","3.4%","96.6%","84.4%","4.0%","1.0%","0.1%","0.0%","0.1%","0.1%","2.8%","0.4%","0.5%","0.3%","0.2%","0.5%","0.5%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","4.3%","3.4%","0.6%","0.9%","0.6%","0.1%","","5,116,796","87.4%","5.0%","2.3%","3.7%","0.3%","5.1%","","5,116,796","20.9%","16.2%","0.5%","0.1%","4.1%","79.1%","69.6%","3.8%","0.5%","2.7%","0.1%","0.1%","2.2%","0.1%","2.1%","2,224,661"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","*","*","*","*","","*","*","*","","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","","","","*","","*","*","","","","","*","*","","","","","","","","","","","","","c","","*","","*","","","","c","c","*","","","*","c","*","","","*","","*","*","*","*","*"
"    2010 Estimate","","5,049,071","50.1%","49.9%","6.8%","7.0%","6.5%","6.8%","6.9%","14.4%","13.9%","14.7%","6.6%","5.4%","6.2%","3.3%","1.4%","36.0","75.7%","71.5%","14.0%","10.9%","3,820,393","49.7%","50.3%","551,638","44.4%","55.6%","","5,049,071","96.6%","3.4%","96.6%","83.3%","3.9%","1.0%","0.1%","0.0%","0.2%","0.1%","2.6%","0.3%","0.5%","0.3%","0.2%","0.4%","0.5%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","5.6%","3.4%","0.6%","0.9%","0.7%","0.0%","","5,049,071","86.4%","4.9%","2.2%","3.8%","0.3%","6.3%","","5,049,071","20.8%","16.1%","0.5%","0.1%","4.1%","79.2%","69.9%","3.8%","0.5%","2.6%","0.1%","0.1%","2.3%","0.1%","2.2%","2,214,262"
"    2014 - 2010 Statistical Significance","","c","*","*","*","*","","*","*","*","*","*","","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","","","","*","","","","","","","*","*","*","","","","*","","","","*","*","*","*","","*","","","*","","c","*","*","","*","","*","","c","c","*","","","*","c","*","","","*","","","","","","*"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","3,596,677","48.8%","51.2%","5.3%","5.8%","6.5%","7.0%","6.8%","12.2%","12.3%","15.3%","7.4%","6.1%","8.5%","4.6%","2.4%","40.5","78.5%","74.1%","18.9%","15.4%","2,821,801","48.1%","51.9%","555,528","43.1%","56.9%","","3,596,677","97.1%","2.9%","97.1%","76.8%","10.3%","0.2%","N","N","N","N","4.2%","1.5%","1.1%","0.4%","0.1%","0.3%","0.3%","0.5%","0.0%","N","N","N","N","5.5%","2.9%","0.8%","0.3%","0.6%","0.1%","","3,596,677","79.2%","11.7%","0.9%","5.0%","0.1%","6.2%","","3,596,677","15.0%","1.4%","8.4%","0.2%","5.0%","85.0%","68.6%","9.7%","0.1%","4.2%","0.0%","0.3%","2.0%","0.1%","1.9%","1,493,632"
"    2013 Estimate","","3,596,080","48.7%","51.3%","5.3%","6.1%","6.4%","7.0%","6.6%","12.2%","12.5%","15.5%","7.2%","6.0%","8.2%","4.4%","2.6%","40.5","78.2%","73.7%","18.6%","15.1%","2,810,738","48.1%","51.9%","544,506","42.8%","57.2%","","3,596,080","97.1%","2.9%","97.1%","77.3%","10.3%","0.2%","N","N","N","N","4.1%","1.4%","0.9%","0.5%","0.1%","0.3%","0.2%","0.7%","0.0%","N","N","N","N","5.2%","2.9%","0.9%","0.3%","0.5%","0.1%","","3,596,080","79.7%","11.8%","0.9%","4.8%","0.1%","6.0%","","3,596,080","14.7%","1.5%","7.5%","0.3%","5.3%","85.3%","69.3%","9.6%","0.1%","4.1%","0.0%","0.3%","1.9%","0.1%","1.8%","1,488,072"
"    2014 - 2013 Statistical Significance","","c","","","*","*","","","*","","*","*","","","*","*","*","","*","*","*","*","*","","","*","*","*","","c","","","","","","","","","","","","","","","*","","","","","","","","","","","","","*","","","c","","","","*","","","","c","c","","*","","","c","*","","","","","","","","","*"
"    2012 Estimate","","3,590,347","48.7%","51.3%","5.4%","6.0%","6.6%","7.2%","6.4%","12.0%","12.8%","15.8%","7.1%","5.9%","7.8%","4.6%","2.4%","40.4","77.9%","73.5%","18.3%","14.8%","2,797,581","48.0%","52.0%","532,024","42.6%","57.4%","","3,590,347","97.4%","2.6%","97.4%","78.1%","10.2%","0.3%","N","N","N","N","4.1%","1.4%","1.0%","0.3%","0.1%","0.3%","0.3%","0.8%","0.1%","N","N","N","N","4.6%","2.6%","0.9%","0.3%","0.4%","0.1%","","3,590,347","80.3%","11.6%","0.8%","4.7%","0.1%","5.2%","","3,590,347","14.2%","1.5%","7.6%","0.3%","4.8%","85.8%","70.0%","9.4%","0.2%","4.1%","0.1%","0.3%","1.7%","0.1%","1.6%","1,488,002"
"    2014 - 2012 Statistical Significance","","c","","","*","*","","*","*","*","*","*","*","","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","*","","*","","","","","","","","","","","","*","","","","","","*","","","","*","","","c","*","","","*","","*","","c","c","","*","","","c","*","*","","","","","*","","*","*"
"    2011 Estimate","","3,580,709","48.7%","51.3%","5.5%","6.2%","6.6%","7.1%","6.3%","12.0%","13.0%","16.0%","6.9%","6.0%","7.4%","4.6%","2.5%","40.3","77.6%","73.1%","18.0%","14.4%","2,777,089","48.0%","52.0%","515,314","42.2%","57.8%","","3,580,709","97.5%","2.5%","97.5%","77.8%","10.0%","0.2%","0.0%","0.0%","0.0%","0.0%","3.9%","1.4%","1.0%","0.3%","0.1%","0.2%","0.2%","0.7%","0.0%","N","N","N","N","5.5%","2.5%","0.8%","0.3%","0.4%","0.1%","","3,580,709","79.8%","11.3%","0.8%","4.5%","0.1%","6.1%","","3,580,709","13.8%","1.5%","7.6%","0.3%","4.5%","86.2%","70.7%","9.5%","0.1%","3.9%","0.0%","0.3%","1.7%","0.2%","1.5%","1,494,042"
"    2014 - 2011 Statistical Significance","","c","","","*","*","","*","*","*","*","*","*","","*","","","","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","","","*","","","","","","","","","","","","","","*","","","*","","","c","*","*","","*","","","","c","c","","*","","*","c","*","*","","*","","","*","","*","*"
"    2010 Estimate","","3,577,073","48.6%","51.4%","5.6%","6.2%","6.7%","7.0%","6.4%","11.8%","13.5%","16.1%","6.6%","5.8%","7.2%","4.5%","2.4%","40.0","77.2%","73.0%","17.7%","14.2%","2,761,785","47.9%","52.1%","508,153","42.0%","58.0%","","3,577,073","97.5%","2.5%","97.5%","78.2%","10.0%","0.2%","N","N","N","N","3.8%","1.1%","0.8%","0.4%","0.1%","0.3%","0.3%","0.7%","0.0%","N","N","N","N","5.3%","2.5%","0.8%","0.3%","0.4%","0.2%","","3,577,073","80.3%","11.3%","0.8%","4.3%","0.1%","5.9%","","3,577,073","13.5%","1.3%","7.4%","0.3%","4.5%","86.5%","71.0%","9.4%","0.1%","3.7%","0.0%","0.4%","1.8%","0.2%","1.6%","1,488,215"
"    2014 - 2010 Statistical Significance","","c","*","*","*","*","*","","*","*","*","*","*","*","*","","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","","","*","*","*","","","","","*","","","","","","","*","","","*","","","c","*","*","","*","","","","c","c","","*","","*","c","*","*","","*","","","","","*","*"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","935,614","48.5%","51.5%","6.0%","6.1%","6.1%","6.5%","6.8%","13.0%","11.9%","13.7%","7.4%","6.0%","9.8%","4.8%","1.8%","39.6","78.2%","73.8%","19.9%","16.4%","731,772","47.8%","52.2%","153,759","44.6%","55.4%","","935,614","97.4%","2.6%","97.4%","69.2%","21.7%","0.4%","N","N","N","N","3.9%","1.5%","1.0%","0.4%","0.0%","0.3%","0.2%","0.4%","0.0%","N","N","N","N","2.2%","2.6%","1.4%","0.3%","0.3%","0.1%","","935,614","71.5%","23.5%","0.9%","4.3%","0.2%","2.5%","","935,614","8.9%","3.5%","3.4%","0.2%","1.8%","91.1%","63.5%","21.1%","0.3%","3.9%","0.0%","0.2%","2.1%","0.0%","2.1%","417,413"
"    2013 Estimate","","925,749","48.4%","51.6%","6.1%","6.2%","6.2%","6.3%","7.3%","12.9%","12.1%","14.1%","6.6%","6.5%","9.3%","4.7%","1.9%","39.1","78.0%","73.8%","19.7%","15.9%","722,061","47.7%","52.3%","146,945","44.4%","55.6%","","925,749","97.1%","2.9%","97.1%","68.9%","21.6%","0.4%","N","N","N","N","3.6%","1.6%","0.9%","0.4%","0.0%","0.2%","0.3%","0.3%","0.1%","N","N","N","N","2.5%","2.9%","1.3%","0.3%","0.4%","0.2%","","925,749","71.4%","23.6%","1.2%","4.2%","0.1%","2.8%","","925,749","8.7%","3.1%","3.2%","0.2%","2.3%","91.3%","64.0%","20.8%","0.3%","3.6%","0.0%","0.2%","2.3%","0.0%","2.3%","412,015"
"    2014 - 2013 Statistical Significance","","c","*","*","*","","","*","*","","","*","*","*","*","","","*","*","","","*","*","","","*","","","","c","","","","","","","","","","","*","","","","","","","","*","","","","","","","","","","","","c","","","*","","","","","c","c","","","","","c","*","","","*","","","","","","*"
"    2012 Estimate","","917,092","48.5%","51.5%","6.1%","6.2%","6.2%","6.8%","7.2%","12.4%","12.2%","14.6%","6.9%","5.9%","8.8%","4.7%","1.9%","39.2","77.7%","72.9%","19.0%","15.4%","712,172","47.7%","52.3%","140,813","44.3%","55.7%","","917,092","97.4%","2.6%","97.4%","69.7%","21.5%","0.3%","N","N","N","N","3.3%","1.2%","0.8%","0.4%","0.1%","0.2%","0.2%","0.5%","0.0%","N","N","N","N","2.5%","2.6%","1.2%","0.3%","0.5%","0.1%","","917,092","72.0%","23.1%","0.8%","3.9%","0.1%","2.9%","","917,092","8.6%","3.3%","2.7%","0.1%","2.5%","91.4%","64.3%","20.9%","0.3%","3.3%","0.0%","0.5%","2.2%","0.1%","2.1%","410,308"
"    2014 - 2012 Statistical Significance","","c","","","*","","","*","*","*","*","*","*","","*","","","","*","*","*","*","*","","","*","","","","c","","","","","","","","","","","*","","","","","","","","","","","","","","","","","*","","","c","","*","","*","","","","c","c","","*","","*","c","*","","","*","","*","","*","","*"
